"DATE.TIME,""hour"",""day"",""lab"",""analyzer"",""CO2_in"",""CO2_S"",""CO2_N"",""CH4_in"",""CH4_S"",""CH4_N"",""NH3_in"",""NH3_S"",""NH3_N"",""H2O_in"",""H2O_S"",""H2O_N"",""n_animals"",""m_weight"",""p_pregnancy_day"",""Y1_milk_prod"",""Temperature"""
"2025-04-11 22:00:00,22,2025-04-11,""LUFA"",""FTIR.2"",563.325,423.75,491.65,14.575,3.65,8.75,1.875,0.95,1.2,0.95,0.9,0.91,48,545.1818182,119.5510204,31.21864407,11.15333333"
"2025-04-11 23:00:00,23,2025-04-11,""LUFA"",""FTIR.2"",562.025,416.3,451.6,15.2,3.4,6.4,1.975,0.95,1.05,0.9825,0.94,0.94,45.5,545.1818182,119.5510204,31.21864407,9.908333333"
"2025-04-12 00:00:00,0,2025-04-12,""LUFA"",""FTIR.2"",619.225,421.85,432.7,19.925,3.35,5.1,2.2,0.85,0.9,1.0225,0.955,0.965,44.75,545.1818182,119.5510204,31.28305085,8.869166667"
"2025-04-12 01:00:00,1,2025-04-12,""LUFA"",""FTIR.2"",607.15,420.35,436.3,18.5,3.45,5.05,2.25,0.85,1,1.025,0.97,0.965,48.2,545.1818182,119.5510204,31.28305085,7.8525"
"2025-04-12 02:00:00,2,2025-04-12,""LUFA"",""FTIR.2"",586.175,425.95,440.85,16.4,3.35,5.35,2.125,0.85,1.05,1.0025,0.935,0.96,50.5,545.1818182,119.5510204,31.28305085,8.175833333"
"2025-04-12 03:00:00,3,2025-04-12,""LUFA"",""FTIR.2"",559.025,428,455.6,13.875,3.3,5.75,1.975,1.05,0.95,0.98,0.925,0.945,45.75,545.1818182,119.5510204,31.28305085,8.700833333"
"2025-04-12 04:00:00,4,2025-04-12,""LUFA"",""FTIR.2"",575.625,424.95,437.05,15.125,3.2,3.8,1.95,0.85,1,0.9725,0.965,0.95,52.25,545.1818182,119.5510204,31.28305085,8.885"
"2025-04-12 05:00:00,5,2025-04-12,""LUFA"",""FTIR.2"",569.7,424.4,427.15,16.325,3.1,3.7,2.2,0.9,0.9,1.0025,0.97,0.97,48.25,545.1818182,119.5510204,31.28305085,9.3125"
"2025-04-12 06:00:00,6,2025-04-12,""LUFA"",""FTIR.2"",590.65,426.25,440.85,19.3,3.25,4.2,1.85,0.8,1,1.0125,0.98,0.975,47.75,545.1818182,119.5510204,31.28305085,9.8525"
"2025-04-12 07:00:00,7,2025-04-12,""LUFA"",""FTIR.2"",600.975,426.7,460.85,19.85,3.5,6.3,1.825,0.95,1.2,1.025,0.975,0.985,49.25,545.1818182,119.5510204,31.28305085,10.31833333"
